"submission_date","state","tot_cases","new_case","tot_death","new_death"
2020-12-14,"NC",447045,4182,6615,57
2020-12-14,"MD",239362,2401,5490,52
2020-12-14,"NV",189412,2579,2548,9
2020-12-14,"NH",31875,919,604,1
2020-12-14,"MT",73303,0,818,0
2020-12-14,"WI",471285,2329,4352,13
2020-12-14,"CA",1585044,33278,21088,93
2020-12-14,"WA",210296,2079,2918,39
2020-12-14,"IN",430410,4967,6818,35
2020-12-14,"SC",259173,2699,4742,12
2020-12-14,"RI",74042,528,1656,30
2020-12-14,"MN",381841,3018,4521,18
2020-12-14,"AZ",420549,11809,7358,1
2020-12-14,"WV",64394,1177,978,10
2020-12-14,"AR",187057,1355,2990,45
2020-12-14,"FL",1122644,9395,21410,102
2020-12-14,"TX",1482141,9430,27183,221
2020-12-14,"GA",546558,3720,10104,28
2020-12-14,"MA",294231,3653,11542,53
2020-12-14,"HI",19125,187,272,0
2020-12-14,"PA",508011,8091,12620,55
2020-12-14,"NM",121299,1499,1895,19
2020-12-14,"OH",570602,7875,7551,59
2020-12-14,"CO",307633,3003,3969,11
2020-12-14,"OK",263990,1876,3690,33
2020-12-14,"AK",40604,406,259,2
2020-12-14,"UT",235872,1968,1062,7
2020-12-14,"KS",190018,4724,2109,37
2020-12-14,"NY",426123,6015,10901,67
2020-12-14,"IA",257332,973,3273,60
2020-12-14,"SD",91354,316,1259,0
2020-12-14,"TN",453468,11188,5462,62
2020-12-14,"ID",122217,1038,1194,19
2020-12-14,"MO",391522,5441,5987,64
2020-12-14,"NE",148849,756,1418,45
2020-12-14,"VT",5498,94,103,1
2020-12-14,"ND",88393,326,1170,13
2020-12-14,"DE",47513,718,816,0
2020-12-14,"CT",153992,7231,5444,81
2020-12-14,"AL",298589,3834,6063,64
2020-12-14,"IL",856118,7214,15455,116
2020-12-14,"MS",186621,2649,4938,51
2020-12-14,"MI",542890,3951,12008,126
2020-12-14,"ME",16744,410,265,6
2020-12-14,"KY",230441,1766,3891,51
2020-12-14,"WY",39775,415,321,0
2020-12-14,"LA",269643,1030,6845,27
2020-12-14,"NJ",445605,5536,17775,24
2020-12-14,"VA",288309,3160,4470,56
2020-12-14,"OR",95010,1157,1161,6
2020-12-15,"CT",155462,1470,5466,22
2020-12-15,"WA",212047,1751,2953,35
2020-12-15,"MO",395706,4184,6042,55
2020-12-15,"MS",188846,2225,4982,44
2020-12-15,"CA",1617370,32326,21178,90
2020-12-15,"NV",191732,2320,2596,48
2020-12-15,"NC",452532,5487,6696,81
2020-12-15,"VT",5567,69,109,6
2020-12-15,"IN",434663,4253,6946,128
2020-12-15,"DE",48359,846,833,17
2020-12-15,"NE",150496,1647,1438,20
2020-12-15,"NJ",450212,4607,17872,97
2020-12-15,"KY",233548,3107,3938,47
2020-12-15,"SC",261677,2504,4748,6
2020-12-15,"OR",96092,1082,1213,52
2020-12-15,"VA",292240,3931,4508,38
2020-12-15,"FL",1133955,11311,21525,115
2020-12-15,"HI",19177,52,272,0
2020-12-15,"GA",553995,7437,10160,56
2020-12-15,"TX",1500538,18397,27402,219
2020-12-15,"CO",309651,2018,4085,116
2020-12-15,"AK",40876,272,262,3
2020-12-15,"UT",237787,1915,1077,15
2020-12-15,"SD",91699,345,1261,2
2020-12-15,"PA",517931,9920,12890,270
2020-12-15,"IA",258599,1267,3340,67
2020-12-15,"TN",461371,7903,5541,79
2020-12-15,"MA",298160,3929,11587,45
2020-12-15,"KS",190018,0,2109,0
2020-12-15,"AR",189198,2141,3016,26
2020-12-15,"OK",268427,4437,3736,46
2020-12-15,"WV",65708,1314,1012,34
2020-12-15,"NY",432330,6207,11004,103
2020-12-15,"NM",122557,1258,1922,27
2020-12-15,"OH",579357,8755,7654,103
2020-12-15,"MD",241767,2405,5539,49
2020-12-15,"NH",32545,670,604,0
2020-12-15,"AL",302618,4029,6120,57
2020-12-15,"MI",546513,3623,12126,118
2020-12-15,"WI",475340,4055,4408,56
2020-12-15,"ND",88395,2,1170,0
2020-12-15,"ID",124019,1802,1214,20
2020-12-15,"ME",17295,551,267,2
2020-12-15,"MT",74040,737,826,8
2020-12-15,"IL",863477,7359,15587,132
2020-12-15,"RI",75172,1130,1671,15
2020-12-15,"LA",272276,2633,6895,50
2020-12-15,"MN",384164,2323,4542,21
2020-12-15,"WY",40064,289,328,7
2020-12-15,"AZ",424686,4137,7422,64
2020-12-16,"MT",74644,604,836,10
2020-12-16,"MD",243984,2217,5593,54
2020-12-16,"NV",194098,2366,2653,57
2020-12-16,"CT",157781,2319,5506,40
2020-12-16,"WI",478162,2822,4493,85
2020-12-16,"CA",1671081,53711,21410,232
2020-12-16,"NE",151902,1406,1448,10
2020-12-16,"ND",89063,668,1204,34
2020-12-16,"NC",458699,6167,6764,68
2020-12-16,"MI",549913,3400,12249,123
2020-12-16,"RI",76213,1041,1687,16
2020-12-16,"WY",40310,246,328,0
2020-12-16,"VA",296093,3853,4553,45
2020-12-16,"SC",264870,3193,4792,44
2020-12-16,"OR",97622,1530,1262,49
2020-12-16,"GA",560619,6624,10228,68
2020-12-16,"UT",240715,2928,1096,19
2020-12-16,"KS",194569,4551,2253,144
2020-12-16,"CO",312625,2974,4156,71
2020-12-16,"HI",19281,104,276,4
2020-12-16,"IA",260779,2180,3354,14
2020-12-16,"PA",528142,10211,13168,278
2020-12-16,"TN",473160,11789,5615,74
2020-12-16,"SD",92603,904,1300,39
2020-12-16,"NM",124357,1800,1963,41
2020-12-16,"AR",191504,2306,3074,58
2020-12-16,"AK",41487,611,263,1
2020-12-16,"FL",1146794,12839,21631,106
2020-12-16,"OK",272175,3748,3783,47
2020-12-16,"TX",1519340,18802,27616,214
2020-12-16,"WV",66849,1141,1039,27
2020-12-16,"MA",304112,5952,11637,50
2020-12-16,"NY",438797,6467,11085,81
2020-12-16,"OH",584766,5409,7777,123
2020-12-16,"IN",440883,6220,7078,132
2020-12-16,"NH",33433,888,625,21
2020-12-16,"MO",399594,3888,6090,48
2020-12-16,"IL",870600,7123,15777,190
2020-12-16,"AL",306794,4176,6192,72
2020-12-16,"VT",5641,74,111,2
2020-12-16,"ID",125452,1433,1231,17
2020-12-16,"ME",17904,609,277,10
2020-12-16,"DE",49237,878,833,0
2020-12-16,"MS",191002,2156,5013,31
2020-12-16,"WA",213649,1602,3042,89
2020-12-16,"LA",275545,3269,6933,38
2020-12-16,"AZ",429526,4840,7530,108
2020-12-16,"MN",386412,2248,4634,92
2020-12-16,"KY",236452,2904,3992,54
2020-12-16,"NJ",456529,6317,18003,131
2020-12-17,"ID",126878,1426,1259,28
2020-12-17,"ME",18341,437,281,4
2020-12-17,"CA",1723362,52281,21817,407
2020-12-17,"WI",482443,4281,4561,68
2020-12-17,"MO",403360,3766,6144,54
2020-12-17,"IN",447235,6352,7158,80
2020-12-17,"NV",196379,2281,2673,20
2020-12-17,"NC",465996,7297,6848,84
2020-12-17,"WA",216628,2979,3117,75
2020-12-17,"ND",89557,494,1225,21
2020-12-17,"KY",239861,3409,4054,62
2020-12-17,"OR",98936,1314,1283,21
2020-12-17,"LA",279321,3776,6964,31
2020-12-17,"NJ",461335,4806,18080,77
2020-12-17,"SC",267819,2949,4835,43
2020-12-17,"KS",194569,0,2253,0
2020-12-17,"AK",41847,360,265,2
2020-12-17,"MA",309247,5135,11693,56
2020-12-17,"FL",1159708,12914,21746,115
2020-12-17,"CO",316250,3625,4226,70
2020-12-17,"WV",68485,1636,1071,32
2020-12-17,"TX",1539189,19849,27851,235
2020-12-17,"GA",568396,7777,10294,66
2020-12-17,"NM",126045,1688,2011,48
2020-12-17,"TN",482461,9301,5668,53
2020-12-17,"NY",446084,7287,11176,91
2020-12-17,"OK",275979,3804,3845,62
2020-12-17,"UT",243918,3203,1126,30
2020-12-17,"HI",19417,136,278,2
2020-12-17,"AR",194543,3039,3112,38
2020-12-17,"SD",93197,594,1301,1
2020-12-17,"IA",262558,1779,3451,97
2020-12-17,"OH",596178,11412,7894,117
2020-12-17,"PA",537851,9709,13392,224
2020-12-17,"IL",879428,8828,15985,208
2020-12-17,"MS",193085,2083,5049,36
2020-12-17,"MD",246553,2569,5638,45
2020-12-17,"MI",552843,2930,12388,139
2020-12-17,"CT",160102,2321,5552,46
2020-12-17,"DE",49592,355,845,12
2020-12-17,"AL",312075,5281,6243,51
2020-12-17,"MT",75483,839,849,13
2020-12-17,"NE",153338,1436,1453,5
2020-12-17,"NH",34264,831,629,4
2020-12-17,"VT",5782,141,112,1
2020-12-17,"RI",77349,1136,1706,19
2020-12-17,"MN",389171,2759,4717,83
2020-12-17,"WY",40593,283,351,23
2020-12-17,"VA",299389,3296,4599,46
2020-12-17,"AZ",435346,5820,7677,147
2020-12-18,"VT",5872,90,112,0
2020-12-18,"NV",199257,2878,2708,35
2020-12-18,"MS",195239,2154,5084,35
2020-12-18,"WI",486364,3921,4632,71
2020-12-18,"ME",18742,401,292,11
2020-12-18,"WA",220304,3676,3104,-13
2020-12-18,"DE",50639,1047,854,9
2020-12-18,"CT",162782,2680,5581,29
2020-12-18,"AL",316212,4137,6302,59
2020-12-18,"ID",128218,1340,1275,16
2020-12-18,"NH",34960,696,638,9
2020-12-18,"MO",406930,3570,6208,64
2020-12-18,"IN",453196,5961,7242,84
2020-12-18,"NJ",465901,4566,18124,44
2020-12-18,"OR",100308,1372,1304,21
2020-12-18,"VA",302972,3583,4643,44
2020-12-18,"AK",42334,487,266,1
2020-12-18,"OK",279890,3911,3892,47
2020-12-18,"HI",19539,122,279,1
2020-12-18,"MA",314926,5679,11750,57
2020-12-18,"CO",319532,3282,4259,33
2020-12-18,"WV",69751,1266,1091,20
2020-12-18,"NY",454282,8198,11267,91
2020-12-18,"PA",547168,9317,13608,216
2020-12-18,"NM",127500,1455,2042,31
2020-12-18,"TX",1555981,16792,28096,245
2020-12-18,"UT",246562,2644,1140,14
2020-12-18,"KS",200426,5857,2341,88
2020-12-18,"AR",197421,2878,3133,21
2020-12-18,"GA",576537,8141,10332,38
2020-12-18,"FL",1171090,11382,21861,115
2020-12-18,"OH",605862,9684,7967,73
2020-12-18,"TN",492600,10139,5845,177
2020-12-18,"SD",93772,575,1329,28
2020-12-18,"IA",264758,2200,3451,0
2020-12-18,"MI",555870,3027,12513,125
2020-12-18,"MT",75992,509,854,5
2020-12-18,"MD",248754,2201,5696,58
2020-12-18,"CA",1764374,41012,22080,263
2020-12-18,"ND",89788,231,1231,6
2020-12-18,"NE",154709,1371,1470,17
2020-12-18,"NC",473785,7789,6916,68
2020-12-18,"IL",886805,7377,16206,221
2020-12-18,"MN",391889,2718,4782,65
2020-12-18,"AZ",442984,7638,7819,142
2020-12-18,"KY",243678,3817,4108,54
2020-12-18,"LA",282434,3113,6994,30
2020-12-18,"WY",41359,766,351,0
2020-12-18,"SC",272262,4443,4863,28
2020-12-18,"RI",77743,394,1723,17
2020-12-19,"IL",894367,7562,16326,120
2020-12-19,"WA",222614,2310,3104,0
2020-12-19,"NE",155570,861,1475,5
2020-12-19,"VT",5961,89,116,4
2020-12-19,"MI",557977,2107,12620,107
2020-12-19,"NV",201858,2601,2751,43
2020-12-19,"CT",162782,0,5581,0
2020-12-19,"ME",18949,207,292,0
2020-12-19,"IN",457940,4744,7314,72
2020-12-19,"MO",408862,1932,6257,49
2020-12-19,"AL",318687,2475,6362,60
2020-12-19,"WI",490679,4315,4722,90
2020-12-19,"RI",78666,923,1738,15
2020-12-19,"SC",275914,3652,4885,22
2020-12-19,"WY",41488,129,351,0
2020-12-19,"MN",394635,2746,4839,57
2020-12-19,"NJ",470652,4751,18173,49
2020-12-19,"OR",101814,1506,1340,36
2020-12-19,"AZ",448547,5563,7937,118
2020-12-19,"KY",246405,2727,4166,58
2020-12-19,"GA",582300,5763,10381,49
