"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-14,"MS",4875,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NV",13650,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"MD",1950,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"WA",9750,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NJ",3900,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"DE",975,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"CT",2925,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"WY",1950,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"GA",5850,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"OH",1950,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"KY",2925,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NH",4875,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"MN",1950,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"OK",17550,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"AL",6825,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"CO",8775,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"OR",1950,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NE",4875,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"TX",19500,0,0,0,0,67,441,0,3,438,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"AR",3900,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"ID",1950,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"MO",10725,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NC",8775,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"HI",975,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"IA",1950,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"NY",10725,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"ND",3900,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"VA",18525,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"WI",9750,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"IN",1950,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"AK",4875,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"KS",12675,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"MI",3900,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"VT",1950,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-14,"IL",47775,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
